url,name,role,image,ind,true_count,almost_true_count,misleading_count,no_data_count,false_count,outrageous_count
/profiles/taghi-rostamvandi.html,تقی رستم‌‌وندی,رئیس سازمان اجتماعی و معاون وزیر کشور,https://factnameh.com/wp-content/uploads/2021/02/Factnameh-taghi-rostamvandi-225x225.jpg?t=1613183154,167,0,0,0,0,0,1
/profiles/karami.html,پرویز کرمی,مشاور معاونت علمی و فناوری ریاست جمهوری,https://factnameh.com/wp-content/uploads/2019/08/Factnameh-parviz-karami-225x225.png?t=1566590522,168,1,0,0,0,0,0
/profiles/fattah.html,پرویز فتاح,رییس کمیته امداد امام خمینی,https://factnameh.com/wp-content/uploads/2018/06/Factnameh-parviz-fattah-225x225.png?t=1537802166,169,0,0,0,1,0,0
/profiles/%d9%be%d8%b1%d9%88%d8%a7%d9%86%d9%87-%d8%b3%d9%84%d8%ad%d8%b4%d9%88%d8%b1%db%8c.html,پروانه سلحشوری,نماینده تهران در مجلس,https://factnameh.com/wp-content/uploads/2018/09/Factnameh-parvaneh-salahshouri-225x225.png?t=1537801980,170,0,0,0,0,1,0
/profiles/dolatir.html,پایگاه اطلاع‌رسانی دولت,(پاد),https://factnameh.com/wp-content/uploads/2017/10/PAAD-225x225.jpg?t=1537801574,171,0,0,0,0,1,0
/profiles/zanganeh.html,بیژن نامدار زنگنه,وزیر نفت,https://factnameh.com/wp-content/uploads/2017/06/Factnameh-Bijan-Zangeneh-225x225.jpg?t=1537801756,172,1,0,0,0,1,0
/profiles/borzou-daragahi.html,برزو دراگاهی,روزنامه‌نگار,https://factnameh.com/wp-content/uploads/2021/04/Factnameh-Borzou-Daragahi-225x225.jpg?t=1618605295,173,0,0,0,0,0,1
/profiles/harirchi.html,ایرج حریرچی,معاون وزارت بهداشت,https://factnameh.com/wp-content/uploads/2020/02/Factnameh-Iraj-hariri-225x225.jpg?t=1601514523,174,0,0,1,1,0,0
/profiles/amirhossein-ghazizadeh.html,امیرحسین قاضی‌زاده هاشمی,نایب‌رئیس مجلس,https://factnameh.com/wp-content/uploads/2020/06/Factnameh-amirhossein-ghazizadeh-225x225.jpg?t=1591727569,175,0,0,0,1,9,0
/profiles/ashrafi.html,امیر اشرفی,پزشک و فعال ضد واکسن,https://factnameh.com/wp-content/uploads/2021/08/Factnameh-Profiles-Picture-AmirAshrafi-225x225.png?t=1629406333,176,0,0,0,0,0,1
/profiles/masoudi.html,اصغر مسعودی,نماینده نی‌ریز و استهبان,https://factnameh.com/wp-content/uploads/2018/12/Factnameh-asghar-masoudi-225x225.png?t=1544657233,177,0,0,0,0,0,1
/profiles/momeni.html,اسکندر مومنی,دبیر ستاد مبارزه با مواد مخدر,https://factnameh.com/wp-content/uploads/2018/10/Factnameh-eskandar-moeni-225x225.png?t=1539197287,178,0,0,2,1,0,0
/profiles/badamchian.html,اسدالله بادامچیان,دبیرکل حزب موتلفه اسلامی,https://factnameh.com/wp-content/uploads/2020/01/Factnameh-asadollah-badmchian-225x225.png?t=1580326864,179,0,0,0,0,0,1
/profiles/jahangiri.html,اسحاق جهانگیری,معاون اول رییس جمهور,https://factnameh.com/wp-content/uploads/2017/05/Factnameh-Eshagh-Jahangiri-1-225x225.jpg?t=1537801420,180,1,1,0,0,2,0
/profiles/zahedi.html,اردشیر زاهدی,وزیر  امور خارجه ایران در دوران پهلوی,https://factnameh.com/wp-content/uploads/2020/04/Factnameh-Ardeshir-Zahedi-225x225.jpg?t=1588120645,181,0,0,1,0,0,0
/profiles/ahmadali-goudarzi.html,احمدعلی گودرزی,فرمانده مرزبانی نیروی انتظامی,https://factnameh.com/wp-content/uploads/2020/11/Factnameh-ahmad-goudarzi-225x225.jpg?t=1604701999,182,0,0,0,0,1,0
/profiles/pishbin.html,احمدرضا پیش‌بین,سرپرست معاونت فرهنگی دانشجویی دانشگاه علمی کاربردی,https://factnameh.com/wp-content/uploads/2019/01/Elmi-Karbordi-225x242.png?t=1546534941,183,0,1,0,0,1,0
/profiles/ahmad-vahidi.html,احمد وحیدی,سردار سپاه و عضو مجمع تشخیص مصلحت نظام,https://factnameh.com/wp-content/uploads/2020/11/Factnameh-ahmad-vahidi-225x225.jpg?t=1604543771,184,0,0,0,0,1,0
/profiles/mazani.html,احمد مازنی,نماینده تهران در مجلس,https://factnameh.com/wp-content/uploads/2020/05/Factnameh-ahmad-mazani-225x225.jpg?t=1589906352,185,0,0,0,1,0,0
/profiles/ahmad-alamolhoda.html,احمد علم‌الهدی,امام جمعه مشهد,https://factnameh.com/wp-content/uploads/2021/06/Factnameh-Profiles-Alamaolhoda-225x225.png?t=1624654827,186,0,0,0,0,1,0
/profiles/rastineh.html,احمد راستینه,نماینده شهرکرد در مجلس,https://factnameh.com/wp-content/uploads/2020/12/rastineh-225x202.png?t=1608834597,187,0,1,0,0,0,0
/profiles/%d8%a7%d8%ad%d9%85%d8%af-%d8%ae%d8%a7%d8%aa%d9%85%db%8c.html,احمد خاتمی,امام جمعه موقت تهران,https://factnameh.com/wp-content/uploads/2021/06/Factnameh-Profiles-Picture-AhmadKhatami-225x225.png?t=1622661253,188,0,0,0,0,0,2
/profiles/fallahi.html,احمد حسین فلاحی,نماینده همدان در مجلس,https://factnameh.com/wp-content/uploads/2020/07/Factnameh-ahmad-hossein-fallahi-225x225.jpg?t=1595091212,189,0,0,0,0,0,1
